template,suggestedKey
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-1/Enable","OUTPUT_CHANNEL_IIR_IIR-1_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-1/Fc/Value","OUTPUT_CHANNEL_IIR_IIR-1_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-1/Gain/Value","OUTPUT_CHANNEL_IIR_IIR-1_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-1/Q/Value","OUTPUT_CHANNEL_IIR_IIR-1_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-1/Slope/Value","OUTPUT_CHANNEL_IIR_IIR-1_SLOPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR/IIR-1/Type/Value","OUTPUT_CHANNEL_IIR_IIR-1_TYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-1/Enable","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-1_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-1/Fc/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-1_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-1/Gain/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-1_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-1/Q/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-1_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-1/Slope/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-1_SLOPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/IIR/IIR-1/Type/Value","OUTPUT_CHANNEL_PEAK_LIMITER_IIR_IIR-1_TYPE_VALUE"
